Date,"Growth hacking"
2015-07-01,507
2015-07-02,532
2015-07-03,367
2015-07-04,237
2015-07-05,344
2015-07-06,555
2015-07-07,667
2015-07-08,594
2015-07-09,556
2015-07-10,490
2015-07-11,305
2015-07-12,280
2015-07-13,565
2015-07-14,670
2015-07-15,533
2015-07-16,601
2015-07-17,443
2015-07-18,261
2015-07-19,314
2015-07-20,548
2015-07-21,514
2015-07-22,515
2015-07-23,699
2015-07-24,500
2015-07-25,306
2015-07-26,271
2015-07-27,545
2015-07-28,557
2015-07-29,545
2015-07-30,511
2015-07-31,454
2015-08-01,261
2015-08-02,255
2015-08-03,502
2015-08-04,616
2015-08-05,504
2015-08-06,588
2015-08-07,450
2015-08-08,290
2015-08-09,313
2015-08-10,527
2015-08-11,590
2015-08-12,600
2015-08-13,510
2015-08-14,514
2015-08-15,317
2015-08-16,381
2015-08-17,573
2015-08-18,679
2015-08-19,673
2015-08-20,634
2015-08-21,1108
2015-08-22,389
2015-08-23,386
2015-08-24,595
2015-08-25,658
2015-08-26,726
2015-08-27,624
2015-08-28,473
2015-08-29,274
2015-08-30,282
2015-08-31,570
2015-09-01,645
2015-09-02,686
2015-09-03,647
2015-09-04,474
2015-09-05,254
2015-09-06,287
2015-09-07,468
2015-09-08,646
2015-09-09,794
2015-09-10,791
2015-09-11,599
2015-09-12,342
2015-09-13,347
2015-09-14,751
2015-09-15,769
2015-09-16,707
2015-09-17,682
2015-09-18,660
2015-09-19,372
2015-09-20,315
2015-09-21,653
2015-09-22,604
2015-09-23,687
2015-09-24,628
2015-09-25,615
2015-09-26,301
2015-09-27,354
2015-09-28,668
2015-09-29,735
2015-09-30,678
2015-10-01,621
2015-10-02,520
2015-10-03,348
2015-10-04,372
2015-10-05,610
2015-10-06,828
2015-10-07,738
2015-10-08,715
2015-10-09,532
2015-10-10,348
2015-10-11,284
2015-10-12,556
2015-10-13,608
2015-10-14,645
2015-10-15,572
2015-10-16,545
2015-10-17,322
2015-10-18,341
2015-10-19,576
2015-10-20,663
2015-10-21,720
2015-10-22,635
2015-10-23,566
2015-10-24,372
2015-10-25,302
2015-10-26,624
2015-10-27,766
2015-10-28,686
2015-10-29,658
2015-10-30,551
2015-10-31,462
2015-11-01,499
2015-11-02,980
2015-11-03,950
2015-11-04,827
2015-11-05,741
2015-11-06,710
2015-11-07,394
2015-11-08,453
2015-11-09,821
2015-11-10,743
2015-11-11,639
2015-11-12,643
2015-11-13,614
2015-11-14,346
2015-11-15,356
2015-11-16,615
2015-11-17,637
2015-11-18,660
2015-11-19,689
2015-11-20,629
2015-11-21,334
2015-11-22,359
2015-11-23,760
2015-11-24,762
2015-11-25,760
2015-11-26,594
2015-11-27,633
2015-11-28,558
2015-11-29,363
2015-11-30,731
2015-12-01,609
2015-12-02,703
2015-12-03,794
2015-12-04,1054
2015-12-05,407
2015-12-06,568
2015-12-07,787
2015-12-08,796
2015-12-09,771
2015-12-10,936
2015-12-11,754
2015-12-12,429
2015-12-13,763
2015-12-14,798
2015-12-15,819
2015-12-16,637
2015-12-17,902
2015-12-18,441
2015-12-19,333
2015-12-20,551
2015-12-21,603
2015-12-22,506
2015-12-23,762
2015-12-24,442
2015-12-25,503
2015-12-26,559
2015-12-27,332
2015-12-28,650
2015-12-29,608
2015-12-30,528
2015-12-31,362
2016-01-01,172
2016-01-02,248
2016-01-03,412
2016-01-04,814
2016-01-05,651
2016-01-06,657
2016-01-07,749
2016-01-08,832
2016-01-09,790
2016-01-10,714
2016-01-11,807
2016-01-12,931
2016-01-13,1184
2016-01-14,871
2016-01-15,768
2016-01-16,422
2016-01-17,325
2016-01-18,885
2016-01-19,930
2016-01-20,711
2016-01-21,989
2016-01-22,664
2016-01-23,647
2016-01-24,480
2016-01-25,594
2016-01-26,602
2016-01-27,812
2016-01-28,702
2016-01-29,620
2016-01-30,473
2016-01-31,565
2016-02-01,646
2016-02-02,698
2016-02-03,716
2016-02-04,743
2016-02-05,447
2016-02-06,276
2016-02-07,246
2016-02-08,457
2016-02-09,557
2016-02-10,552
2016-02-11,522
2016-02-12,499
2016-02-13,380
2016-02-14,349
2016-02-15,689
2016-02-16,650
2016-02-17,639
2016-02-18,578
2016-02-19,664
2016-02-20,388
2016-02-21,343
2016-02-22,608
2016-02-23,604
2016-02-24,678
2016-02-25,535
2016-02-26,472
2016-02-27,610
2016-02-28,393
2016-02-29,731
2016-03-01,602
2016-03-02,562
2016-03-03,612
2016-03-04,542
2016-03-05,313
2016-03-06,331
2016-03-07,598
2016-03-08,609
2016-03-09,624
2016-03-10,649
2016-03-11,514
2016-03-12,338
2016-03-13,330
2016-03-14,589
2016-03-15,596
2016-03-16,737
2016-03-17,940
2016-03-18,765
2016-03-19,399
2016-03-20,384
2016-03-21,628
2016-03-22,700
2016-03-23,696
2016-03-24,588
2016-03-25,422
2016-03-26,313
2016-03-27,313
2016-03-28,509
2016-03-29,609
2016-03-30,641
2016-03-31,555
2016-04-01,527
2016-04-02,283
2016-04-03,374
2016-04-04,607
2016-04-05,678
2016-04-06,627
2016-04-07,568
2016-04-08,508
2016-04-09,326
2016-04-10,351
2016-04-11,603
2016-04-12,620
2016-04-13,623
2016-04-14,591
2016-04-15,509
2016-04-16,266
2016-04-17,300
2016-04-18,578
2016-04-19,635
2016-04-20,586
2016-04-21,537
2016-04-22,515
2016-04-23,273
2016-04-24,324
2016-04-25,594
2016-04-26,671
2016-04-27,604
2016-04-28,520
2016-04-29,429
2016-04-30,264
2016-05-01,314
2016-05-02,486
2016-05-03,504
2016-05-04,525
2016-05-05,483
2016-05-06,409
2016-05-07,246
2016-05-08,279
2016-05-09,557
2016-05-10,590
2016-05-11,613
